id;name;city;country;iata;icao;tz
1;Goroka Airport;Goroka;Papua New Guinea;GKA;AYGA;Pacific/Port_Moresby
2;Madang Airport;Madang;Papua New Guinea;MAG;AYMD;Pacific/Port_Moresby
3;Mount Hagen Kagamuga Airport;Mount Hagen;Papua New Guinea;HGU;AYMH;Pacific/Port_Moresby
4;Nadzab Airport;Nadzab;Papua New Guinea;LAE;AYNZ;Pacific/Port_Moresby
5;Port Moresby Jacksons International Airport;Port Moresby;Papua New Guinea;POM;AYPY;Pacific/Port_Moresby
6;Wewak International Airport;Wewak;Papua New Guinea;WWK;AYWK;Pacific/Port_Moresby
7;Narsarsuaq Airport;Narssarssuaq;Greenland;UAK;BGBW;America/Godthab
8;Godthaab / Nuuk Airport;Godthaab;Greenland;GOH;BGGH;America/Godthab
9;Kangerlussuaq Airport;Sondrestrom;Greenland;SFJ;BGSF;America/Godthab
10;Thule Air Base;Thule;Greenland;THU;BGTL;America/Thule
11;Akureyri Airport;Akureyri;Iceland;AEY;BIAR;Atlantic/Reykjavik
12;Egilsstaðir Airport;Egilsstadir;Iceland;EGS;BIEG;Atlantic/Reykjavik
13;Hornafjörður Airport;Hofn;Iceland;HFN;BIHN;Atlantic/Reykjavik
14;Húsavík Airport;Husavik;Iceland;HZK;BIHU;Atlantic/Reykjavik
15;Ísafjörður Airport;Isafjordur;Iceland;IFJ;BIIS;Atlantic/Reykjavik
16;Keflavik International Airport;Keflavik;Iceland;KEF;BIKF;Atlantic/Reykjavik
17;Patreksfjörður Airport;Patreksfjordur;Iceland;PFJ;BIPA;Atlantic/Reykjavik
18;Reykjavik Airport;Reykjavik;Iceland;RKV;BIRK;Atlantic/Reykjavik
19;Siglufjörður Airport;Siglufjordur;Iceland;SIJ;BISI;Atlantic/Reykjavik
20;Vestmannaeyjar Airport;Vestmannaeyjar;Iceland;VEY;BIVM;Atlantic/Reykjavik
21;Sault Ste Marie Airport;Sault Sainte Marie;Canada;YAM;CYAM;America/Toronto
22;Winnipeg / St. Andrews Airport;Winnipeg;Canada;NULL;CYAV;America/Winnipeg
23;Halifax / CFB Shearwater Heliport;Halifax;Canada;NULL;CYAW;America/Halifax
24;St. Anthony Airport;St. Anthony;Canada;YAY;CYAY;America/St_Johns
25;Tofino / Long Beach Airport;Tofino;Canada;YAZ;CYAZ;America/Vancouver
26;Kugaaruk Airport;Pelly Bay;Canada;YBB;CYBB;America/Edmonton
27;Baie Comeau Airport;Baie Comeau;Canada;YBC;CYBC;America/Toronto
28;CFB Bagotville;Bagotville;Canada;YBG;CYBG;America/Toronto
29;Baker Lake Airport;Baker Lake;Canada;YBK;CYBK;America/Winnipeg
30;Campbell River Airport;Campbell River;Canada;YBL;CYBL;America/Vancouver
31;Brandon Municipal Airport;Brandon;Canada;YBR;CYBR;America/Winnipeg
32;Cambridge Bay Airport;Cambridge Bay;Canada;YCB;CYCB;America/Edmonton
33;Nanaimo Airport;Nanaimo;Canada;YCD;CYCD;America/Vancouver
34;Castlegar/West Kootenay Regional Airport;Castlegar;Canada;YCG;CYCG;America/Vancouver
35;Miramichi Airport;Chatham;Canada;YCH;CYCH;America/Halifax
36;Charlo Airport;Charlo;Canada;YCL;CYCL;America/Halifax
37;Kugluktuk Airport;Coppermine;Canada;YCO;CYCO;America/Edmonton
38;Coronation Airport;Coronation;Canada;YCT;CYCT;America/Edmonton
39;Chilliwack Airport;Chilliwack;Canada;YCW;CYCW;America/Vancouver
40;Clyde River Airport;Clyde River;Canada;YCY;CYCY;America/Toronto
41;Coral Harbour Airport;Coral Harbour;Canada;YZS;CYZS;America/Coral_Harbour
42;Dawson City Airport;Dawson;Canada;YDA;CYDA;America/Vancouver
43;Burwash Airport;Burwash;Canada;YDB;CYDB;America/Vancouver
44;Princeton Airport;Princeton;Canada;NULL;CYDC;America/Vancouver
45;Deer Lake Airport;Deer Lake;Canada;YDF;CYDF;America/St_Johns
46;Dease Lake Airport;Dease Lake;Canada;YDL;CYDL;America/Vancouver
47;Dauphin Barker Airport;Dauphin;Canada;YDN;CYDN;America/Winnipeg
48;Dawson Creek Airport;Dawson Creek;Canada;YDQ;CYDQ;America/Dawson_Creek
49;Edmonton International Airport;Edmonton;Canada;YEG;CYEG;America/Edmonton
50;Arviat Airport;Eskimo Point;Canada;YEK;CYEK;America/Winnipeg
51;Estevan Airport;Estevan;Canada;YEN;CYEN;America/Regina
52;Edson Airport;Edson;Canada;YET;CYET;America/Edmonton
53;Eureka Airport;Eureka;Canada;YEU;CYEU;America/Winnipeg
54;Inuvik Mike Zubko Airport;Inuvik;Canada;YEV;CYEV;America/Edmonton
55;Iqaluit Airport;Iqaluit;Canada;YFB;CYFB;America/Toronto
56;Fredericton Airport;Fredericton;Canada;YFC;CYFC;America/Halifax
57;Forestville Airport;Forestville;Canada;YFE;CYFE;America/Toronto
58;Flin Flon Airport;Flin Flon;Canada;YFO;CYFO;America/Winnipeg
59;Fort Resolution Airport;Fort Resolution;Canada;YFR;CYFR;America/Edmonton
60;Fort Simpson Airport;Fort Simpson;Canada;YFS;CYFS;America/Edmonton
61;Kingston Norman Rogers Airport;Kingston;Canada;YGK;CYGK;America/Toronto
62;La Grande Rivière Airport;La Grande Riviere;Canada;YGL;CYGL;America/Toronto
63;Gaspé (Michel-Pouliot) Airport;Gaspe;Canada;YGP;CYGP;America/Toronto
64;Geraldton Greenstone Regional Airport;Geraldton;Canada;YGQ;CYGQ;America/Toronto
65;Îles-de-la-Madeleine Airport;Iles De La Madeleine;Canada;YGR;CYGR;America/Toronto
66;Hudson Bay Airport;Hudson Bay;Canada;YHB;CYHB;America/Regina
67;Dryden Regional Airport;Dryden;Canada;YHD;CYHD;America/Winnipeg
68;Ulukhaktok Holman Airport;Holman Island;Canada;YHI;CYHI;America/Edmonton
69;Gjoa Haven Airport;Gjoa Haven;Canada;YHK;CYHK;America/Edmonton
70;John C. Munro Hamilton International Airport;Hamilton;Canada;YHM;CYHM;America/Toronto
71;Montréal / Saint-Hubert Airport;Montreal;Canada;YHU;CYHU;America/Toronto
72;Hay River / Merlyn Carter Airport;Hay River;Canada;YHY;CYHY;America/Edmonton
73;Halifax / Stanfield International Airport;Halifax;Canada;YHZ;CYHZ;America/Halifax
74;Atikokan Municipal Airport;Atikokan;Canada;YIB;CYIB;America/Coral_Harbour
75;Pond Inlet Airport;Pond Inlet;Canada;YIO;CYIO;America/Toronto
76;St Jean Airport;St. Jean;Canada;YJN;CYJN;America/Toronto
77;Stephenville Airport;Stephenville;Canada;YJT;CYJT;America/St_Johns
78;Kamloops Airport;Kamloops;Canada;YKA;CYKA;America/Vancouver
79;Waterloo Airport;Waterloo;Canada;YKF;CYKF;America/Toronto
80;Schefferville Airport;Schefferville;Canada;YKL;CYKL;America/Toronto
81;Kindersley Airport;Kindersley;Canada;YKY;CYKY;America/Regina
82;Buttonville Municipal Airport;Toronto;Canada;YKZ;CYKZ;America/Toronto
83;Chapleau Airport;Chapleau;Canada;YLD;CYLD;America/Toronto
84;Meadow Lake Airport;Meadow Lake;Canada;YLJ;CYLJ;America/Regina
85;Lloydminster Airport;Lloydminster;Canada;YLL;CYLL;America/Edmonton
86;Alert Airport;Alert;Canada;YLT;CYLT;America/Toronto
87;Kelowna International Airport;Kelowna;Canada;YLW;CYLW;America/Vancouver
88;Mayo Airport;Mayo;Canada;YMA;CYMA;America/Vancouver
89;Moose Jaw Air Vice Marshal C. M. McEwen Airport;Moose Jaw;Canada;YMJ;CYMJ;America/Regina
90;Fort McMurray Airport;Fort Mcmurray;Canada;YMM;CYMM;America/Edmonton
91;Moosonee Airport;Moosonee;Canada;YMO;CYMO;America/Toronto
92;Maniwaki Airport;Maniwaki;Canada;YMW;CYMW;America/Toronto
93;Montreal International (Mirabel) Airport;Montreal;Canada;YMX;CYMX;America/Toronto
94;Natashquan Airport;Natashquan;Canada;YNA;CYNA;America/Toronto
95;Ottawa / Gatineau Airport;Gatineau;Canada;YND;CYND;America/Toronto
96;Matagami Airport;Matagami;Canada;YNM;CYNM;America/Toronto
97;Old Crow Airport;Old Crow;Canada;YOC;CYOC;America/Vancouver
98;CFB Cold Lake;Cold Lake;Canada;YOD;CYOD;America/Edmonton
99;High Level Airport;High Level;Canada;YOJ;CYOJ;America/Edmonton
100;Ottawa Macdonald-Cartier International Airport;Ottawa;Canada;YOW;CYOW;America/Toronto
101;Prince Albert Glass Field;Prince Albert;Canada;YPA;CYPA;America/Regina
102;Peace River Airport;Peace River;Canada;YPE;CYPE;America/Edmonton
103;Southport Airport;Portage-la-prairie;Canada;YPG;CYPG;America/Winnipeg
104;Pitt Meadows Airport;Pitt Meadows;Canada;NULL;CYPK;America/Vancouver
105;Pickle Lake Airport;Pickle Lake;Canada;YPL;CYPL;America/Coral_Harbour
106;Port Menier Airport;Port Menier;Canada;YPN;CYPN;America/Toronto
107;Peterborough Airport;Peterborough;Canada;YPQ;CYPQ;America/Toronto
108;Prince Rupert Airport;Prince Pupert;Canada;YPR;CYPR;America/Vancouver
109;Fort Chipewyan Airport;Fort Chipewyan;Canada;YPY;CYPY;America/Edmonton
110;Muskoka Airport;Muskoka;Canada;YQA;CYQA;America/Toronto
111;Quebec Jean Lesage International Airport;Quebec;Canada;YQB;CYQB;America/Toronto
112;Red Deer Regional Airport;Red Deer Industrial;Canada;YQF;CYQF;America/Edmonton
113;Windsor Airport;Windsor;Canada;YQG;CYQG;America/Toronto
114;Watson Lake Airport;Watson Lake;Canada;YQH;CYQH;America/Vancouver
115;Kenora Airport;Kenora;Canada;YQK;CYQK;America/Winnipeg
116;Lethbridge County Airport;Lethbridge;Canada;YQL;CYQL;America/Edmonton
117;Greater Moncton International Airport;Moncton;Canada;YQM;CYQM;America/Halifax
118;Comox Airport;Comox;Canada;YQQ;CYQQ;America/Vancouver
119;Regina International Airport;Regina;Canada;YQR;CYQR;America/Regina
120;Thunder Bay Airport;Thunder Bay;Canada;YQT;CYQT;America/Toronto
121;Grande Prairie Airport;Grande Prairie;Canada;YQU;CYQU;America/Edmonton
122;Yorkton Municipal Airport;Yorkton;Canada;YQV;CYQV;America/Regina
123;North Battleford Airport;North Battleford;Canada;YQW;CYQW;America/Regina
124;Gander International Airport;Gander;Canada;YQX;CYQX;America/St_Johns
125;Sydney / J.A. Douglas McCurdy Airport;Sydney;Canada;YQY;CYQY;America/Halifax
126;Quesnel Airport;Quesnel;Canada;YQZ;CYQZ;America/Vancouver
127;Resolute Bay Airport;Resolute;Canada;YRB;CYRB;America/Winnipeg
128;Rivière-du-Loup Airport;Riviere Du Loup;Canada;YRI;CYRI;America/Toronto
129;Roberval Airport;Roberval;Canada;YRJ;CYRJ;America/Toronto
130;Rocky Mountain House Airport;Rocky Mountain House;Canada;YRM;CYRM;America/Edmonton
131;Rankin Inlet Airport;Rankin Inlet;Canada;YRT;CYRT;America/Winnipeg
132;Sudbury Airport;Sudbury;Canada;YSB;CYSB;America/Toronto
133;Sherbrooke Airport;Sherbrooke;Canada;YSC;CYSC;America/Toronto
134;Saint John Airport;St. John;Canada;YSJ;CYSJ;America/Halifax
135;Fort Smith Airport;Fort Smith;Canada;YSM;CYSM;America/Edmonton
136;Nanisivik Airport;Nanisivik;Canada;YSR;CYSR;America/Toronto
137;Summerside Airport;Summerside;Canada;YSU;CYSU;America/Halifax
138;Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport;Sachs Harbour;Canada;YSY;CYSY;America/Edmonton
139;Cape Dorset Airport;Cape Dorset;Canada;YTE;CYTE;America/Toronto
140;Thompson Airport;Thompson;Canada;YTH;CYTH;America/Winnipeg
141;CFB Trenton;Trenton;Canada;YTR;CYTR;America/Toronto
142;Timmins/Victor M. Power;Timmins;Canada;YTS;CYTS;America/Toronto
143;Billy Bishop Toronto City Centre Airport;Toronto;Canada;YTZ;CYTZ;America/Toronto
144;Tuktoyaktuk Airport;Tuktoyaktuk;Canada;YUB;CYUB;America/Edmonton
145;Montreal / Pierre Elliott Trudeau International Airport;Montreal;Canada;YUL;CYUL;America/Toronto
146;Repulse Bay Airport;Repulse Bay;Canada;YUT;CYUT;America/Winnipeg
147;Hall Beach Airport;Hall Beach;Canada;YUX;CYUX;America/Toronto
148;Rouyn Noranda Airport;Rouyn;Canada;YUY;CYUY;America/Toronto
149;La Ronge Airport;La Ronge;Canada;YVC;CYVC;America/Regina
150;Vermilion Airport;Vermillion;Canada;YVG;CYVG;America/Edmonton
151;Qikiqtarjuaq Airport;Broughton Island;Canada;YVM;CYVM;America/Toronto
152;Val-d'Or Airport;Val D'or;Canada;YVO;CYVO;America/Toronto
153;Kuujjuaq Airport;Quujjuaq;Canada;YVP;CYVP;America/Toronto
154;Norman Wells Airport;Norman Wells;Canada;YVQ;CYVQ;America/Edmonton
155;Vancouver International Airport;Vancouver;Canada;YVR;CYVR;America/Vancouver
156;Buffalo Narrows Airport;Buffalo Narrows;Canada;YVT;CYVT;America/Regina
157;Wiarton Airport;Wiarton;Canada;YVV;CYVV;America/Toronto
158;Petawawa Airport;Petawawa;Canada;YWA;CYWA;America/Toronto
159;Winnipeg / James Armstrong Richardson International Airport;Winnipeg;Canada;YWG;CYWG;America/Winnipeg
160;Wabush Airport;Wabush;Canada;YWK;CYWK;America/Halifax
161;Williams Lake Airport;Williams Lake;Canada;YWL;CYWL;America/Vancouver
162;Wrigley Airport;Wrigley;Canada;YWY;CYWY;America/Edmonton
163;Cranbrook/Canadian Rockies International Airport;Cranbrook;Canada;YXC;CYXC;America/Edmonton
164;Edmonton City Centre (Blatchford Field) Airport;Edmonton;Canada;YXD;CYXD;America/Edmonton
165;Saskatoon John G. Diefenbaker International Airport;Saskatoon;Canada;YXE;CYXE;America/Regina
166;Medicine Hat Airport;Medicine Hat;Canada;YXH;CYXH;America/Edmonton
167;Fort St John Airport;Fort Saint John;Canada;YXJ;CYXJ;America/Dawson_Creek
168;Sioux Lookout Airport;Sioux Lookout;Canada;YXL;CYXL;America/Winnipeg
169;Pangnirtung Airport;Pangnirtung;Canada;YXP;CYXP;America/Toronto
170;Earlton (Timiskaming Regional) Airport;Earlton;Canada;YXR;CYXR;America/Toronto
171;Prince George Airport;Prince George;Canada;YXS;CYXS;America/Vancouver
172;Northwest Regional Airport Terrace-Kitimat;Terrace;Canada;YXT;CYXT;America/Vancouver
173;London Airport;London;Canada;YXU;CYXU;America/Toronto
174;Abbotsford Airport;Abbotsford;Canada;YXX;CYXX;America/Vancouver
175;Whitehorse / Erik Nielsen International Airport;Whitehorse;Canada;YXY;CYXY;America/Vancouver
176;North Bay Jack Garland Airport;North Bay;Canada;YYB;CYYB;America/Toronto
177;Calgary International Airport;Calgary;Canada;YYC;CYYC;America/Edmonton
178;Smithers Airport;Smithers;Canada;YYD;CYYD;America/Vancouver
179;Fort Nelson Airport;Fort Nelson;Canada;YYE;CYYE;America/Vancouver
180;Penticton Airport;Penticton;Canada;YYF;CYYF;America/Vancouver
181;Charlottetown Airport;Charlottetown;Canada;YYG;CYYG;America/Halifax
182;Taloyoak Airport;Spence Bay;Canada;YYH;CYYH;America/Edmonton
183;Victoria International Airport;Victoria;Canada;YYJ;CYYJ;America/Vancouver
184;Lynn Lake Airport;Lynn Lake;Canada;YYL;CYYL;America/Winnipeg
185;Swift Current Airport;Swift Current;Canada;YYN;CYYN;America/Regina
186;Churchill Airport;Churchill;Canada;YYQ;CYYQ;America/Winnipeg
187;Goose Bay Airport;Goose Bay;Canada;YYR;CYYR;America/Halifax
188;St. John's International Airport;St. John's;Canada;YYT;CYYT;America/St_Johns
189;Kapuskasing Airport;Kapuskasing;Canada;YYU;CYYU;America/Toronto
190;Armstrong Airport;Armstrong;Canada;YYW;CYYW;America/Toronto
191;Mont Joli Airport;Mont Joli;Canada;YYY;CYYY;America/Toronto
192;Lester B. Pearson International Airport;Toronto;Canada;YYZ;CYYZ;America/Toronto
193;Downsview Airport;Toronto;Canada;YZD;CYZD;America/Toronto
194;Gore Bay Manitoulin Airport;Gore Bay;Canada;YZE;CYZE;America/Toronto
195;Yellowknife Airport;Yellowknife;Canada;YZF;CYZF;America/Edmonton
196;Slave Lake Airport;Slave Lake;Canada;YZH;CYZH;America/Edmonton
197;Sandspit Airport;Sandspit;Canada;YZP;CYZP;America/Vancouver
198;Chris Hadfield Airport;Sarnia;Canada;YZR;CYZR;America/Toronto
199;Port Hardy Airport;Port Hardy;Canada;YZT;CYZT;America/Vancouver
200;Whitecourt Airport;Whitecourt;Canada;YZU;CYZU;America/Edmonton
201;Sept-Îles Airport;Sept-iles;Canada;YZV;CYZV;America/Toronto
202;Teslin Airport;Teslin;Canada;YZW;CYZW;America/Vancouver
203;CFB Greenwood;Greenwood;Canada;YZX;CYZX;America/Halifax
204;Faro Airport;Faro;Canada;ZFA;CZFA;America/Vancouver
205;Fort Mcpherson Airport;Fort Mcpherson;Canada;ZFM;CZFM;America/Edmonton
206;Blida Airport;Blida;Algeria;QLD;DAAB;Africa/Algiers
207;Bou Saada Airport;Bou Saada;Algeria;BUJ;DAAD;Africa/Algiers
208;Soummam Airport;Bejaja;Algeria;BJA;DAAE;Africa/Algiers
209;Houari Boumediene Airport;Algier;Algeria;ALG;DAAG;Africa/Algiers
210;Djanet Inedbirene Airport;Djanet;Algeria;DJG;DAAJ;Africa/Algiers
211;Boufarik Airport;Boufarik;Algeria;NULL;DAAK;Africa/Algiers
212;Reggane Airport;Reggan;Algeria;NULL;DAAN;Africa/Algiers
213;Illizi Takhamalt Airport;Illizi;Algeria;VVZ;DAAP;Africa/Algiers
214;Ain Oussera Airport;Ain Oussera;Algeria;NULL;DAAQ;Africa/Algiers
215;Aguenar – Hadj Bey Akhamok Airport;Tamanrasset;Algeria;TMR;DAAT;Africa/Algiers
216;Jijel Ferhat Abbas Airport;Jijel;Algeria;GJL;DAAV;Africa/Algiers
217;Mecheria Airport;Mecheria;Algeria;MZW;DAAY;Africa/Algiers
218;Relizane Airport;Relizane;Algeria;NULL;DAAZ;Africa/Algiers
219;Rabah Bitat Airport;Annaba;Algeria;AAE;DABB;Africa/Algiers
220;Mohamed Boudiaf International Airport;Constantine;Algeria;CZL;DABC;Africa/Algiers
221;Cheikh Larbi Tébessi Airport;Tebessa;Algeria;TEE;DABS;Africa/Algiers
222;Hassi R'Mel Airport;Tilrempt;Algeria;HRM;DAFH;Africa/Algiers
223;Bou Chekif Airport;Tiaret;Algeria;TID;DAOB;Africa/Algiers
224;Bou Sfer Airport;Bou Sfer;Algeria;NULL;DAOE;Africa/Algiers
225;Tindouf Airport;Tindouf;Algeria;TIN;DAOF;Africa/Algiers
226;Ech Cheliff Airport;Ech-cheliff;Algeria;CFK;DAOI;Africa/Algiers
227;Tafaraoui Airport;Oran;Algeria;TAF;DAOL;Africa/Algiers
228;Zenata – Messali El Hadj Airport;Tlemcen;Algeria;TLM;DAON;Africa/Algiers
229;Es Senia Airport;Oran;Algeria;ORN;DAOO;Africa/Algiers
230;Sidi Bel Abbes Airport;Sidi Bel Abbes;Algeria;BFW;DAOS;Africa/Algiers
231;Ghriss Airport;Ghriss;Algeria;MUW;DAOV;Africa/Algiers
232;Touat Cheikh Sidi Mohamed Belkebir Airport;Adrar;Algeria;AZR;DAUA;Africa/Algiers
233;Biskra Airport;Biskra;Algeria;BSK;DAUB;Africa/Algiers
234;El Golea Airport;El Golea;Algeria;ELG;DAUE;Africa/Algiers
235;Noumérat - Moufdi Zakaria Airport;Ghardaia;Algeria;GHA;DAUG;Africa/Algiers
236;Oued Irara Airport;Hassi Messaoud;Algeria;HME;DAUH;Africa/Algiers
237;In Salah Airport;In Salah;Algeria;INZ;DAUI;Africa/Algiers
238;Touggourt Sidi Madhi Airport;Touggourt;Algeria;TGR;DAUK;Africa/Algiers
239;Laghouat Airport;Laghouat;Algeria;LOO;DAUL;Africa/Algiers
240;Timimoun Airport;Timimoun;Algeria;TMX;DAUT;Africa/Algiers
241;Ain el Beida Airport;Ouargla;Algeria;OGX;DAUU;Africa/Algiers
242;In Aménas Airport;Zarzaitine;Algeria;IAM;DAUZ;Africa/Algiers
243;Cadjehoun Airport;Cotonou;Benin;COO;DBBB;Africa/Porto-Novo
244;Ouagadougou Airport;Ouagadougou;Burkina Faso;OUA;DFFD;Africa/Ouagadougou
245;Bobo Dioulasso Airport;Bobo-dioulasso;Burkina Faso;BOY;DFOO;Africa/Ouagadougou
246;Kotoka International Airport;Accra;Ghana;ACC;DGAA;Africa/Accra
247;Tamale Airport;Tamale;Ghana;TML;DGLE;Africa/Accra
248;Wa Airport;Wa;Ghana;NULL;DGLW;Africa/Accra
249;Sunyani Airport;Sunyani;Ghana;NYI;DGSN;Africa/Accra
250;Takoradi Airport;Takoradi;Ghana;TKD;DGTK;Africa/Accra
251;Port Bouet Airport;Abidjan;Cote d'Ivoire;ABJ;DIAP;Africa/Abidjan
252;Bouaké Airport;Bouake;Cote d'Ivoire;BYK;DIBK;Africa/Abidjan
253;Daloa Airport;Daloa;Cote d'Ivoire;DJO;DIDL;Africa/Abidjan
254;Korhogo Airport;Korhogo;Cote d'Ivoire;HGO;DIKO;Africa/Abidjan
255;Man Airport;Man;Cote d'Ivoire;MJC;DIMN;Africa/Abidjan
256;San Pedro Airport;San Pedro;Cote d'Ivoire;SPY;DISP;Africa/Abidjan
257;Yamoussoukro Airport;Yamoussoukro;Cote d'Ivoire;ASK;DIYO;Africa/Abidjan
258;Nnamdi Azikiwe International Airport;Abuja;Nigeria;ABV;DNAA;Africa/Lagos
259;Akure Airport;Akure;Nigeria;AKR;DNAK;Africa/Lagos
260;Benin Airport;Benin;Nigeria;BNI;DNBE;Africa/Lagos
261;Margaret Ekpo International Airport;Calabar;Nigeria;CBQ;DNCA;Africa/Lagos
262;Akanu Ibiam International Airport;Enugu;Nigeria;ENU;DNEN;Africa/Lagos
263;Gusau Airport;Gusau;Nigeria;NULL;DNGU;Africa/Lagos
264;Ibadan Airport;Ibadan;Nigeria;IBA;DNIB;Africa/Lagos
265;Ilorin International Airport;Ilorin;Nigeria;ILR;DNIL;Africa/Lagos
266;Yakubu Gowon Airport;Jos;Nigeria;JOS;DNJO;Africa/Lagos
267;Kaduna Airport;Kaduna;Nigeria;KAD;DNKA;Africa/Lagos
268;Mallam Aminu International Airport;Kano;Nigeria;KAN;DNKN;Africa/Lagos
269;Maiduguri International Airport;Maiduguri;Nigeria;MIU;DNMA;Africa/Lagos
270;Makurdi Airport;Makurdi;Nigeria;MDI;DNMK;Africa/Lagos
271;Murtala Muhammed International Airport;Lagos;Nigeria;LOS;DNMM;Africa/Lagos
272;Minna Airport;Minna;Nigeria;MXJ;DNMN;Africa/Lagos
273;Port Harcourt International Airport;Port Hartcourt;Nigeria;PHC;DNPO;Africa/Lagos
274;Sadiq Abubakar III International Airport;Sokoto;Nigeria;SKO;DNSO;Africa/Lagos
275;Yola Airport;Yola;Nigeria;YOL;DNYO;Africa/Lagos
276;Zaria Airport;Zaria;Nigeria;ZAR;DNZA;Africa/Lagos
277;Maradi Airport;Maradi;Niger;MFQ;DRRM;Africa/Niamey
278;Diori Hamani International Airport;Niamey;Niger;NIM;DRRN;Africa/Niamey
279;Tahoua Airport;Tahoua;Niger;THZ;DRRT;Africa/Niamey
280;Mano Dayak International Airport;Agadez;Niger;AJY;DRZA;Africa/Niamey
281;Dirkou Airport;Dirkou;Niger;NULL;DRZD;Africa/Niamey
282;Diffa Airport;Diffa;Niger;NULL;DRZF;Africa/Niamey
283;Zinder Airport;Zinder;Niger;ZND;DRZR;Africa/Niamey
284;Monastir Habib Bourguiba International Airport;Monastir;Tunisia;MIR;DTMB;Africa/Tunis
285;Tunis Carthage International Airport;Tunis;Tunisia;TUN;DTTA;Africa/Tunis
286;Sidi Ahmed Air Base;Bizerte;Tunisia;NULL;DTTB;Africa/Tunis
287;Remada Air Base;Remada;Tunisia;NULL;DTTD;Africa/Tunis
288;Gafsa Ksar International Airport;Gafsa;Tunisia;GAF;DTTF;Africa/Tunis
289;Gabès Matmata International Airport;Gabes;Tunisia;GAE;DTTG;Africa/Tunis
290;Borj El Amri Airport;Bordj El Amri;Tunisia;NULL;DTTI;Africa/Tunis
291;Djerba Zarzis International Airport;Djerba;Tunisia;DJE;DTTJ;Africa/Tunis
292;El Borma Airport;El Borma;Tunisia;EBM;DTTR;Africa/Tunis
293;Sfax Thyna International Airport;Sfax;Tunisia;SFA;DTTX;Africa/Tunis
294;Tozeur Nefta International Airport;Tozeur;Tunisia;TOE;DTTZ;Africa/Tunis
295;Niamtougou International Airport;Niatougou;Togo;LRL;DXNG;Africa/Lome
296;Lomé-Tokoin Airport;Lome;Togo;LFW;DXXX;Africa/Lome
297;Antwerp International Airport (Deurne);Antwerp;Belgium;ANR;EBAW;Europe/Brussels
298;Beauvechain Air Base;Beauvechain;Belgium;NULL;EBBE;Europe/Brussels
299;Kleine Brogel Air Base;Kleine Brogel;Belgium;NULL;EBBL;Europe/Brussels
300;Brussels Airport;Brussels;Belgium;BRU;EBBR;Europe/Brussels
301;Jehonville Air Base;Bertrix;Belgium;NULL;EBBX;Europe/Brussels
302;Brussels South Charleroi Airport;Charleroi;Belgium;CRL;EBCI;Europe/Brussels
303;Chièvres Air Base;Chievres;Belgium;NULL;EBCV;Europe/Brussels
304;Koksijde Air Base;Koksijde;Belgium;NULL;EBFN;Europe/Brussels
305;Florennes Air Base;Florennes;Belgium;NULL;EBFS;Europe/Brussels
306;Wevelgem Airport;Kortrijk-vevelgem;Belgium;KJK;EBKT;Europe/Brussels
307;Liège Airport;Liege;Belgium;LGG;EBLG;Europe/Brussels
308;Ostend-Bruges International Airport;Ostend;Belgium;OST;EBOS;Europe/Brussels
309;Zutendaal Air Base;Zutendaal;Belgium;NULL;EBSL;Europe/Brussels
310;Brustem Airfield Sint Truiden;Sint-truiden;Belgium;NULL;EBST;Europe/Brussels
311;Saint Hubert Air Base;St.-hubert;Belgium;NULL;EBSU;Europe/Brussels
312;Ursel Air Base;Ursel;Belgium;NULL;EBUL;Europe/Brussels
313;Weelde Air Base;Weelde;Belgium;NULL;EBWE;Europe/Brussels
314;Zoersel (Oostmalle) Airfield;Zoersel;Belgium;OBL;EBZR;Europe/Brussels
315;Flugplatz Bautzen;Bautzen;Germany;NULL;EDAB;Europe/Berlin
316;Altenburg-Nobitz Airport;Altenburg;Germany;AOC;EDAC;Europe/Berlin
317;Dessau Airfield;Dessau;Germany;NULL;EDAD;Europe/Berlin
318;Eisenhüttenstadt Airfield;Eisenhuettenstadt;Germany;NULL;EDAE;Europe/Berlin
319;Großenhain Airport;Suhl;Germany;NULL;EDAK;Europe/Berlin
320;Merseburg Airport;Muehlhausen;Germany;NULL;EDAM;Europe/Berlin
321;Halle-Oppin Airport;Halle;Germany;NULL;EDAQ;Europe/Berlin
322;Riesa-Göhlis Airport;Riesa;Germany;IES;EDAU;Europe/Berlin
323;Rechlin-Lärz Airport;Rechlin-laerz;Germany;REB;EDAX;Europe/Berlin
324;Strausberg Airport;Strausberg;Germany;NULL;EDAY;Europe/Berlin
325;Schönhagen Airport;Schoenhagen;Germany;QXH;EDAZ;Europe/Berlin
326;Barth Airport;Barth;Germany;BBH;EDBH;Europe/Berlin
327;Jena-Schöngleina Airfield;Jena;Germany;NULL;EDBJ;Europe/Berlin
328;Kyritz Airport;Kyritz;Germany;NULL;EDBK;Europe/Berlin
329;"Magdeburg ""City"" Airport";Magdeburg;Germany;ZMG;EDBM;Europe/Berlin
330;Rothenburg/Görlitz Airport;Rothenburg/ol;Germany;NULL;EDBR;Europe/Berlin
331;Anklam Airfield;Anklam;Germany;NULL;EDCA;Europe/Berlin
332;Cottbus-Drewitz Airport;Cottbus;Germany;CBU;EDCD;Europe/Berlin
333;Kamenz Airport;Kamenz;Germany;NULL;EDCM;Europe/Berlin
